STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;CDE_PRODUCT;DES_PRODUCT;PRD_PRODUCT;TYP_OWN_FUND_GUAR;AUDIT_INFO
5;20231231;1;POS_1123100_BNP Paribas Fortis W;;;;;0;
5;20231231;1;POS_1123105_BNP bankverrichtinge;;;;;0;
5;20231231;1;POS_1123106_ING bankverrichtinge;;;;;0;
5;20231231;1;POS_1123107_KBC bankverrichtinge;;;;;0;
5;20231231;1;POS_1123108_BPOST bankverrichtin;;;;;0;
5;20231231;1;POS_1123109_ING EXACT           ;;;;;0;
5;20231231;1;POS_1123110_ING Goffin          ;;;;;0;
5;20231231;1;POS_1123111_ING DEPO Goffin     ;;;;;0;
5;20231231;1;POS_1123210_Belfius CKV Waregem ;;;;;0;
5;20231231;1;POS_1123300_KBC Nostro          ;;;;;0;
5;20231231;1;POS_1123301_KBC SEPA Pending    ;;;;;0;
5;20231231;1;POS_1123310_KBC                 ;;;;;0;
5;20231231;1;POS_1123400_KBC Stater          ;;;;;0;
5;20231231;1;POS_1123600_ING                 ;;;;;0;
5;20231231;1;POS_1123601_ING cash pooling age;;;;;0;
5;20231231;1;POS_1123680_ING Loro 301-0104983;;;;;0;
5;20231231;1;POS_1123700_Lawaisse 102-0027565;;;;;0;
5;20231231;1;POS_1123910_Transfers KBC Nostro;;;;;0;
5;20231231;1;POS_1123920_Transfers           ;;;;;0;
5;20231231;1;POS_1123930_Reservaties spaarrek;;;;;0;
5;20231231;1;POS_1123940_Transfers KBC Stater;;;;;0;
5;20231231;1;POS_908598000795;;2216;Gereglementeerde Spaarrekening;;0;
