STATUS;VALID_ON;LOT_TYPE_FK;CDE_DF_EXT_RATING;CDE_RATING_AGENCY;IDE_CONTRACT_REF;IDE_COUNTERPARTY_REF;IDE_INTERNAL_PARTY_REF;TYP_INCEPTION_RATING;TYP_SHORTLONG_TERM
5;20240331;1;7;1;;CTP_AG;;;1
5;20240331;1;3;1;;CTP_AG;;;2
5;20240331;1;8;2;;CTP_AG;;;1
5;20240331;1;2;2;;CTP_AG;;;2
5;20240331;1;6;3;;CTP_AG;;;1
5;20240331;1;2;3;;CTP_AG;;;2
5;20240331;1;7;1;;CTP_BELFIUS;;;1
5;20240331;1;3;1;;CTP_BELFIUS;;;2
5;20240331;1;5;2;;CTP_BELFIUS;;;1
5;20240331;1;1;2;;CTP_BELFIUS;;;2
5;20240331;1;7;3;;CTP_BELFIUS;;;1
5;20240331;1;2;3;;CTP_BELFIUS;;;2
5;20240331;1;5;1;;CTP_BNP_Paribas_Fortis;;;1
5;20240331;1;2;1;;CTP_BNP_Paribas_Fortis;;;2
5;20240331;1;6;2;;CTP_BNP_Paribas_Fortis;;;1
5;20240331;1;1;2;;CTP_BNP_Paribas_Fortis;;;2
5;20240331;1;5;3;;CTP_BNP_Paribas_Fortis;;;1
5;20240331;1;2;3;;CTP_BNP_Paribas_Fortis;;;2
5;20240331;1;7;1;;CTP_CRELAN;;;1
5;20240331;1;3;1;;CTP_CRELAN;;;2
5;20240331;1;8;2;;CTP_CRELAN;;;1
5;20240331;1;2;2;;CTP_CRELAN;;;2
5;20240331;1;6;3;;CTP_CRELAN;;;1
5;20240331;1;2;3;;CTP_CRELAN;;;2
5;20240331;1;5;1;;CTP_ING;;;1
5;20240331;1;2;1;;CTP_ING;;;2
5;20240331;1;4;2;;CTP_ING;;;1
5;20240331;1;1;2;;CTP_ING;;;2
5;20240331;1;5;3;;CTP_ING;;;1
5;20240331;1;2;3;;CTP_ING;;;2
5;20240331;1;7;1;;CTP_KBC;;;1
5;20240331;1;3;1;;CTP_KBC;;;2
5;20240331;1;8;2;;CTP_KBC;;;1
5;20240331;1;2;2;;CTP_KBC;;;2
5;20240331;1;6;3;;CTP_KBC;;;1
5;20240331;1;2;3;;CTP_KBC;;;2
