STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;TYP_MOB_CODE;CDE_C013;CDE_C081;TYP_SECURITY_TYPE;IDE_SEC_CODE;TYP_SEC_CODE;CDE_REP_PRUD_NONBANK;CDE_PRODUCT;DES_PRODUCT;CDE_CBF_RC;PRD_PRODUCT;TYP_DEPOSIT;TYP_CP_MOB_CD;TYP_COMPOSIT_INDEX;TYP_COUNTR_CODE_MOB;TYP_OWN_FUND_GUAR;TYP_SAFEKEEPING;TYP_LIQUID;CDE_C018;CDE_C022;AUDIT_INFO
5;20240331;1;POS_530005700894;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530006700806;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530007700815;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530008700925;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530009700934;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530010700943;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530011700952;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530012701062;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530013700970;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530014700979;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530015701089;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530016701001;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530017701010;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530018701019;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530019701028;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530020701037;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530021701046;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530022701156;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530023701165;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530024701174;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530025701183;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530026701192;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530029701122;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530030701131;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530031701140;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530034701167;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530035701176;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530036701185;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530037701295;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530038701308;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_530039701317;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_630002700804;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_630004701125;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_6348752;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_6362065;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_6364022;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_6385001;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760939304595;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760940304507;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760941304516;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760942304525;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760943304534;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760944304543;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760945304552;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760946304561;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760947304570;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760948304680;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760949304689;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760950304601;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760951304711;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760952304720;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760953304729;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760954304738;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760955304848;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760956304857;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760957304866;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760958304875;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760959304884;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760960304893;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760961304805;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760962304814;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760963304823;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760964304832;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760965304841;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760966304850;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760967304859;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760968304868;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760969304877;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760970304886;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760971304895;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760972304807;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760973304816;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760974304825;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760975304834;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760976304843;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760977304852;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760978304861;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760979304870;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760980304879;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760981304888;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760982304800;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760983304809;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760984304919;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760985304928;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760986304937;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760987304946;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760988304955;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_760989305166;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BE0974264930;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BE6264506526;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER00003W7Q0;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER000041415;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER000041534;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER000044DQ7;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER000044TG4;;;;;;;;;;;;;;;;;;;;;
5;20240331;1;POS_BER000045PI5;;;;;;;;;;;;;;;;;;;;;
